id,series_id,observed_at,available_at,value,unit,source_id,source_version,quality_status,data_kind,content_hash,is_demo
1,BUNKER_VLSFO_SINGAPORE,2024-01-01 00:00:00,2024-01-01 18:00:00,653.32,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000001,True
2,BUNKER_IFO380_SINGAPORE,2024-01-01 00:00:00,2024-01-01 18:00:00,485.28,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000002,True
3,BUNKER_MGO_SINGAPORE,2024-01-01 00:00:00,2024-01-01 18:00:00,849.36,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000003,True
4,BUNKER_VLSFO_ROTTERDAM,2024-01-01 00:00:00,2024-01-01 18:00:00,618.39,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000004,True
5,BUNKER_VLSFO_PARADIP,2024-01-01 00:00:00,2024-01-01 18:00:00,689.03,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000005,True
6,BUNKER_VLSFO_SINGAPORE,2024-01-02 00:00:00,2024-01-02 18:00:00,650.15,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000006,True
7,BUNKER_IFO380_SINGAPORE,2024-01-02 00:00:00,2024-01-02 18:00:00,478.45,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000007,True
8,BUNKER_MGO_SINGAPORE,2024-01-02 00:00:00,2024-01-02 18:00:00,855.2,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000008,True
9,BUNKER_VLSFO_ROTTERDAM,2024-01-02 00:00:00,2024-01-02 18:00:00,620.29,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000009,True
10,BUNKER_VLSFO_PARADIP,2024-01-02 00:00:00,2024-01-02 18:00:00,690.13,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000010,True
11,BUNKER_VLSFO_SINGAPORE,2024-01-03 00:00:00,2024-01-03 18:00:00,653.65,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000011,True
12,BUNKER_IFO380_SINGAPORE,2024-01-03 00:00:00,2024-01-03 18:00:00,489.63,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000012,True
13,BUNKER_MGO_SINGAPORE,2024-01-03 00:00:00,2024-01-03 18:00:00,855.29,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000013,True
14,BUNKER_VLSFO_ROTTERDAM,2024-01-03 00:00:00,2024-01-03 18:00:00,619.68,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000014,True
15,BUNKER_VLSFO_PARADIP,2024-01-03 00:00:00,2024-01-03 18:00:00,692.94,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000015,True
16,BUNKER_VLSFO_SINGAPORE,2024-01-04 00:00:00,2024-01-04 18:00:00,649.86,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000016,True
17,BUNKER_IFO380_SINGAPORE,2024-01-04 00:00:00,2024-01-04 18:00:00,482.2,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000017,True
18,BUNKER_MGO_SINGAPORE,2024-01-04 00:00:00,2024-01-04 18:00:00,848.13,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000018,True
19,BUNKER_VLSFO_ROTTERDAM,2024-01-04 00:00:00,2024-01-04 18:00:00,631.45,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000019,True
20,BUNKER_VLSFO_PARADIP,2024-01-04 00:00:00,2024-01-04 18:00:00,684.51,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000020,True
21,BUNKER_VLSFO_SINGAPORE,2024-01-05 00:00:00,2024-01-05 18:00:00,653.19,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000021,True
22,BUNKER_IFO380_SINGAPORE,2024-01-05 00:00:00,2024-01-05 18:00:00,492.87,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000022,True
23,BUNKER_MGO_SINGAPORE,2024-01-05 00:00:00,2024-01-05 18:00:00,856.35,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000023,True
24,BUNKER_VLSFO_ROTTERDAM,2024-01-05 00:00:00,2024-01-05 18:00:00,619.34,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000024,True
25,BUNKER_VLSFO_PARADIP,2024-01-05 00:00:00,2024-01-05 18:00:00,684.42,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000025,True
26,BUNKER_VLSFO_SINGAPORE,2024-01-06 00:00:00,2024-01-06 18:00:00,663.61,USD_PER_MT,2,v1.0,VALID,SYNTHETIC,hash_bnk_000026,True
