id,series_id,observed_at,available_at,value,unit,source_id,source_version,quality_status,data_kind,content_hash,is_demo
1,CONGESTION_PORT_PARADIP,2024-01-01 00:00:00,2024-01-01 18:00:00,4.0,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000001,True
2,CONGESTION_PORT_DHAMRA,2024-01-01 00:00:00,2024-01-01 18:00:00,2.1,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000002,True
3,CONGESTION_PORT_NEWCASTLE,2024-01-01 00:00:00,2024-01-01 18:00:00,5.2,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000003,True
4,CONGESTION_PORT_HEDLAND,2024-01-01 00:00:00,2024-01-01 18:00:00,3.2,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000004,True
5,CONGESTION_PORT_PARADIP,2024-01-02 00:00:00,2024-01-02 18:00:00,3.9,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000005,True
6,CONGESTION_PORT_DHAMRA,2024-01-02 00:00:00,2024-01-02 18:00:00,2.0,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000006,True
7,CONGESTION_PORT_NEWCASTLE,2024-01-02 00:00:00,2024-01-02 18:00:00,4.9,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000007,True
8,CONGESTION_PORT_HEDLAND,2024-01-02 00:00:00,2024-01-02 18:00:00,2.7,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000008,True
9,CONGESTION_PORT_PARADIP,2024-01-03 00:00:00,2024-01-03 18:00:00,4.8,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000009,True
10,CONGESTION_PORT_DHAMRA,2024-01-03 00:00:00,2024-01-03 18:00:00,2.5,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000010,True
11,CONGESTION_PORT_NEWCASTLE,2024-01-03 00:00:00,2024-01-03 18:00:00,5.6,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000011,True
12,CONGESTION_PORT_HEDLAND,2024-01-03 00:00:00,2024-01-03 18:00:00,2.9,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000012,True
13,CONGESTION_PORT_PARADIP,2024-01-04 00:00:00,2024-01-04 18:00:00,3.9,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000013,True
14,CONGESTION_PORT_DHAMRA,2024-01-04 00:00:00,2024-01-04 18:00:00,1.9,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000014,True
15,CONGESTION_PORT_NEWCASTLE,2024-01-04 00:00:00,2024-01-04 18:00:00,4.5,DAYS,3,v1.0,VALID,SYNTHETIC,hash_cng_000015,True
