id,series_id,observed_at,available_at,value,unit,source_id,source_version,quality_status,data_kind,content_hash,is_demo
1,FREIGHT_AU_HEDLAND_PARADIP_CAPE,2024-01-01 00:00:00,2024-01-01 18:00:00,10.9,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000001,True
2,FREIGHT_AU_NEWCASTLE_PARADIP_PANAMAX,2024-01-01 00:00:00,2024-01-01 18:00:00,13.97,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000002,True
3,FREIGHT_ID_SAMARINDA_PARADIP_SUPRA,2024-01-01 00:00:00,2024-01-01 18:00:00,8.61,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000003,True
4,FREIGHT_ZA_RICHARDSBAY_PARADIP_PANAMAX,2024-01-01 00:00:00,2024-01-01 18:00:00,12.33,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000004,True
5,FREIGHT_BR_TUBARAO_QINGDAO_CAPE,2024-01-01 00:00:00,2024-01-01 18:00:00,21.01,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000005,True
6,FREIGHT_AU_HEDLAND_PARADIP_CAPE,2024-01-02 00:00:00,2024-01-02 18:00:00,11.05,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000006,True
7,FREIGHT_AU_NEWCASTLE_PARADIP_PANAMAX,2024-01-02 00:00:00,2024-01-02 18:00:00,13.65,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000007,True
8,FREIGHT_ID_SAMARINDA_PARADIP_SUPRA,2024-01-02 00:00:00,2024-01-02 18:00:00,9.13,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000008,True
9,FREIGHT_ZA_RICHARDSBAY_PARADIP_PANAMAX,2024-01-02 00:00:00,2024-01-02 18:00:00,12.96,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000009,True
10,FREIGHT_BR_TUBARAO_QINGDAO_CAPE,2024-01-02 00:00:00,2024-01-02 18:00:00,20.03,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000010,True
11,FREIGHT_AU_HEDLAND_PARADIP_CAPE,2024-01-03 00:00:00,2024-01-03 18:00:00,10.94,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000011,True
12,FREIGHT_AU_NEWCASTLE_PARADIP_PANAMAX,2024-01-03 00:00:00,2024-01-03 18:00:00,14.48,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000012,True
13,FREIGHT_ID_SAMARINDA_PARADIP_SUPRA,2024-01-03 00:00:00,2024-01-03 18:00:00,9.02,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000013,True
14,FREIGHT_ZA_RICHARDSBAY_PARADIP_PANAMAX,2024-01-03 00:00:00,2024-01-03 18:00:00,12.54,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000014,True
15,FREIGHT_BR_TUBARAO_QINGDAO_CAPE,2024-01-03 00:00:00,2024-01-03 18:00:00,19.79,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000015,True
16,FREIGHT_AU_HEDLAND_PARADIP_CAPE,2024-01-04 00:00:00,2024-01-04 18:00:00,11.28,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000016,True
17,FREIGHT_AU_NEWCASTLE_PARADIP_PANAMAX,2024-01-04 00:00:00,2024-01-04 18:00:00,14.6,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000017,True
18,FREIGHT_ID_SAMARINDA_PARADIP_SUPRA,2024-01-04 00:00:00,2024-01-04 18:00:00,8.96,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000018,True
19,FREIGHT_ZA_RICHARDSBAY_PARADIP_PANAMAX,2024-01-04 00:00:00,2024-01-04 18:00:00,12.68,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000019,True
20,FREIGHT_BR_TUBARAO_QINGDAO_CAPE,2024-01-04 00:00:00,2024-01-04 18:00:00,20.39,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000020,True
21,FREIGHT_AU_HEDLAND_PARADIP_CAPE,2024-01-05 00:00:00,2024-01-05 18:00:00,11.46,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000021,True
22,FREIGHT_AU_NEWCASTLE_PARADIP_PANAMAX,2024-01-05 00:00:00,2024-01-05 18:00:00,14.22,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000022,True
23,FREIGHT_ID_SAMARINDA_PARADIP_SUPRA,2024-01-05 00:00:00,2024-01-05 18:00:00,8.81,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000023,True
24,FREIGHT_ZA_RICHARDSBAY_PARADIP_PANAMAX,2024-01-05 00:00:00,2024-01-05 18:00:00,13.01,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000024,True
25,FREIGHT_BR_TUBARAO_QINGDAO_CAPE,2024-01-05 00:00:00,2024-01-05 18:00:00,21.45,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000025,True
26,FREIGHT_AU_HEDLAND_PARADIP_CAPE,2024-01-06 00:00:00,2024-01-06 18:00:00,11.63,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000026,True
27,FREIGHT_AU_NEWCASTLE_PARADIP_PANAMAX,2024-01-06 00:00:00,2024-01-06 18:00:00,14.73,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000027,True
28,FREIGHT_ID_SAMARINDA_PARADIP_SUPRA,2024-01-06 00:00:00,2024-01-06 18:00:00,9.19,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000028,True
29,FREIGHT_ZA_RICHARDSBAY_PARADIP_PANAMAX,2024-01-06 00:00:00,2024-01-06 18:00:00,13.3,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000029,True
30,FREIGHT_BR_TUBARAO_QINGDAO_CAPE,2024-01-06 00:00:00,2024-01-06 18:00:00,21.72,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000030,True
31,FREIGHT_AU_HEDLAND_PARADIP_CAPE,2024-01-07 00:00:00,2024-01-07 18:00:00,11.82,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000031,True
32,FREIGHT_AU_NEWCASTLE_PARADIP_PANAMAX,2024-01-07 00:00:00,2024-01-07 18:00:00,15.34,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000032,True
33,FREIGHT_ID_SAMARINDA_PARADIP_SUPRA,2024-01-07 00:00:00,2024-01-07 18:00:00,9.21,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000033,True
34,FREIGHT_ZA_RICHARDSBAY_PARADIP_PANAMAX,2024-01-07 00:00:00,2024-01-07 18:00:00,12.85,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000034,True
35,FREIGHT_BR_TUBARAO_QINGDAO_CAPE,2024-01-07 00:00:00,2024-01-07 18:00:00,20.91,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000035,True
36,FREIGHT_AU_HEDLAND_PARADIP_CAPE,2024-01-08 00:00:00,2024-01-08 18:00:00,11.73,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000036,True
37,FREIGHT_AU_NEWCASTLE_PARADIP_PANAMAX,2024-01-08 00:00:00,2024-01-08 18:00:00,15.53,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000037,True
38,FREIGHT_ID_SAMARINDA_PARADIP_SUPRA,2024-01-08 00:00:00,2024-01-08 18:00:00,9.29,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000038,True
39,FREIGHT_ZA_RICHARDSBAY_PARADIP_PANAMAX,2024-01-08 00:00:00,2024-01-08 18:00:00,13.25,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000039,True
40,FREIGHT_BR_TUBARAO_QINGDAO_CAPE,2024-01-08 00:00:00,2024-01-08 18:00:00,22.14,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000040,True
41,FREIGHT_AU_HEDLAND_PARADIP_CAPE,2024-01-09 00:00:00,2024-01-09 18:00:00,11.59,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000041,True
42,FREIGHT_AU_NEWCASTLE_PARADIP_PANAMAX,2024-01-09 00:00:00,2024-01-09 18:00:00,15.52,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000042,True
43,FREIGHT_ID_SAMARINDA_PARADIP_SUPRA,2024-01-09 00:00:00,2024-01-09 18:00:00,9.81,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000043,True
44,FREIGHT_ZA_RICHARDSBAY_PARADIP_PANAMAX,2024-01-09 00:00:00,2024-01-09 18:00:00,13.65,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000044,True
45,FREIGHT_BR_TUBARAO_QINGDAO_CAPE,2024-01-09 00:00:00,2024-01-09 18:00:00,21.25,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000045,True
46,FREIGHT_AU_HEDLAND_PARADIP_CAPE,2024-01-10 00:00:00,2024-01-10 18:00:00,11.65,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000046,True
47,FREIGHT_AU_NEWCASTLE_PARADIP_PANAMAX,2024-01-10 00:00:00,2024-01-10 18:00:00,15.72,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000047,True
48,FREIGHT_ID_SAMARINDA_PARADIP_SUPRA,2024-01-10 00:00:00,2024-01-10 18:00:00,9.42,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000048,True
49,FREIGHT_ZA_RICHARDSBAY_PARADIP_PANAMAX,2024-01-10 00:00:00,2024-01-10 18:00:00,13.64,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000049,True
50,FREIGHT_BR_TUBARAO_QINGDAO_CAPE,2024-01-10 00:00:00,2024-01-10 18:00:00,21.16,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000050,True
51,FREIGHT_AU_HEDLAND_PARADIP_CAPE,2024-01-11 00:00:00,2024-01-11 18:00:00,12.24,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000051,True
52,FREIGHT_AU_NEWCASTLE_PARADIP_PANAMAX,2024-01-11 00:00:00,2024-01-11 18:00:00,15.86,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000052,True
53,FREIGHT_ID_SAMARINDA_PARADIP_SUPRA,2024-01-11 00:00:00,2024-01-11 18:00:00,9.68,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000053,True
54,FREIGHT_ZA_RICHARDSBAY_PARADIP_PANAMAX,2024-01-11 00:00:00,2024-01-11 18:00:00,13.73,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000054,True
55,FREIGHT_BR_TUBARAO_QINGDAO_CAPE,2024-01-11 00:00:00,2024-01-11 18:00:00,21.7,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000055,True
56,FREIGHT_AU_HEDLAND_PARADIP_CAPE,2024-01-12 00:00:00,2024-01-12 18:00:00,11.99,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000056,True
57,FREIGHT_AU_NEWCASTLE_PARADIP_PANAMAX,2024-01-12 00:00:00,2024-01-12 18:00:00,14.69,USD_PER_MT,1,v1.0,VALID,PROXY,hash_fr_000057,True
