id,series_id,observed_at,available_at,value,unit,source_id,source_version,quality_status,data_kind,content_hash,is_demo
1,FX_USD_INR,2024-01-01 00:00:00,2024-01-01 18:00:00,82.7925,INR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000001,True
2,FX_USD_EUR,2024-01-01 00:00:00,2024-01-01 18:00:00,0.9176,EUR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000002,True
3,FX_USD_INR,2024-01-02 00:00:00,2024-01-02 18:00:00,82.8549,INR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000003,True
4,FX_USD_EUR,2024-01-02 00:00:00,2024-01-02 18:00:00,0.9156,EUR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000004,True
5,FX_USD_INR,2024-01-03 00:00:00,2024-01-03 18:00:00,82.7338,INR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000005,True
6,FX_USD_EUR,2024-01-03 00:00:00,2024-01-03 18:00:00,0.9188,EUR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000006,True
7,FX_USD_INR,2024-01-04 00:00:00,2024-01-04 18:00:00,82.8168,INR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000007,True
8,FX_USD_EUR,2024-01-04 00:00:00,2024-01-04 18:00:00,0.916,EUR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000008,True
9,FX_USD_INR,2024-01-05 00:00:00,2024-01-05 18:00:00,82.7755,INR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000009,True
10,FX_USD_EUR,2024-01-05 00:00:00,2024-01-05 18:00:00,0.9149,EUR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000010,True
11,FX_USD_INR,2024-01-06 00:00:00,2024-01-06 18:00:00,82.8297,INR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000011,True
12,FX_USD_EUR,2024-01-06 00:00:00,2024-01-06 18:00:00,0.9151,EUR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000012,True
13,FX_USD_INR,2024-01-07 00:00:00,2024-01-07 18:00:00,82.7988,INR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000013,True
14,FX_USD_EUR,2024-01-07 00:00:00,2024-01-07 18:00:00,0.9152,EUR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000014,True
15,FX_USD_INR,2024-01-08 00:00:00,2024-01-08 18:00:00,82.8182,INR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000015,True
16,FX_USD_EUR,2024-01-08 00:00:00,2024-01-08 18:00:00,0.9148,EUR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000016,True
17,FX_USD_INR,2024-01-09 00:00:00,2024-01-09 18:00:00,82.7782,INR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000017,True
18,FX_USD_EUR,2024-01-09 00:00:00,2024-01-09 18:00:00,0.9157,EUR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000018,True
19,FX_USD_INR,2024-01-10 00:00:00,2024-01-10 18:00:00,82.7503,INR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000019,True
20,FX_USD_EUR,2024-01-10 00:00:00,2024-01-10 18:00:00,0.9167,EUR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000020,True
21,FX_USD_INR,2024-01-11 00:00:00,2024-01-11 18:00:00,82.8428,INR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000021,True
22,FX_USD_EUR,2024-01-11 00:00:00,2024-01-11 18:00:00,0.9174,EUR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000022,True
23,FX_USD_INR,2024-01-12 00:00:00,2024-01-12 18:00:00,82.8935,INR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000023,True
24,FX_USD_EUR,2024-01-12 00:00:00,2024-01-12 18:00:00,0.9155,EUR_PER_USD,4,v1.0,VALID,SYNTHETIC,hash_fx_000024,True
