id,series_id,observed_at,available_at,value,unit,source_id,source_version,quality_status,data_kind,content_hash,is_demo
1,INDEX_BDI,2024-01-01 00:00:00,2024-01-01 18:00:00,1284.8,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000001,True
2,INDEX_BCI,2024-01-01 00:00:00,2024-01-01 18:00:00,1934.0,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000002,True
3,INDEX_BPI,2024-01-01 00:00:00,2024-01-01 18:00:00,1256.2,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000003,True
4,INDEX_BSI,2024-01-01 00:00:00,2024-01-01 18:00:00,958.7,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000004,True
5,INDEX_BHSI,2024-01-01 00:00:00,2024-01-01 18:00:00,614.0,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000005,True
6,INDEX_BDI,2024-01-02 00:00:00,2024-01-02 18:00:00,1269.5,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000006,True
7,INDEX_BCI,2024-01-02 00:00:00,2024-01-02 18:00:00,1963.1,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000007,True
8,INDEX_BPI,2024-01-02 00:00:00,2024-01-02 18:00:00,1271.8,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000008,True
9,INDEX_BSI,2024-01-02 00:00:00,2024-01-02 18:00:00,971.3,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000009,True
10,INDEX_BHSI,2024-01-02 00:00:00,2024-01-02 18:00:00,626.0,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000010,True
11,INDEX_BDI,2024-01-03 00:00:00,2024-01-03 18:00:00,1362.5,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000011,True
12,INDEX_BCI,2024-01-03 00:00:00,2024-01-03 18:00:00,1953.5,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000012,True
13,INDEX_BPI,2024-01-03 00:00:00,2024-01-03 18:00:00,1312.7,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000013,True
14,INDEX_BSI,2024-01-03 00:00:00,2024-01-03 18:00:00,980.9,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000014,True
15,INDEX_BHSI,2024-01-03 00:00:00,2024-01-03 18:00:00,623.7,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000015,True
16,INDEX_BDI,2024-01-04 00:00:00,2024-01-04 18:00:00,1356.0,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000016,True
17,INDEX_BCI,2024-01-04 00:00:00,2024-01-04 18:00:00,1928.3,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000017,True
18,INDEX_BPI,2024-01-04 00:00:00,2024-01-04 18:00:00,1288.4,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000018,True
19,INDEX_BSI,2024-01-04 00:00:00,2024-01-04 18:00:00,1036.8,POINTS,1,v1.0,VALID,SYNTHETIC,hash_mkt_000019,True
